Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
26.5,27.5,26.5,27.0,27.0,2400.0,2.0,64800.0,2400.0,100.0,1.0,0.5
26.5,27.8,26.5,27.15,27.15,2400.0,2.0,65160.0,1200.0,50.0,1.3,0.65
27.45,27.5,27.4,27.4,27.45,3600.0,3.0,98820.0,2400.0,66.67,0.1,-0.05
27.4,27.4,27.4,27.4,27.4,1200.0,1.0,32880.0,1200.0,100.0,0.0,0.0
25.0,25.0,25.0,25.0,25.0,84000.0,13.0,2100000.0,84000.0,100.0,0.0,0.0
28.0,28.0,26.45,26.65,26.79,8400.0,5.0,225000.0,8400.0,100.0,1.55,-1.35
24.3,26.0,24.3,24.3,24.98,6000.0,5.0,149880.0,3600.0,60.0,1.7,0.0
25.0,25.0,25.0,25.0,25.0,15600.0,1.0,390000.0,15600.0,100.0,0.0,0.0
25.5,30.0,25.1,27.35,26.76,7200.0,6.0,192660.0,6000.0,83.33,4.9,1.85
25.0,26.5,25.0,26.5,25.83,8400.0,7.0,216960.0,7200.0,85.71,1.5,1.5
24.6,25.5,24.6,25.5,25.05,2400.0,2.0,60120.0,1200.0,50.0,0.9,0.9
23.9,23.9,23.0,23.2,23.37,9600.0,8.0,224340.0,8400.0,87.5,0.9,-0.7
23.2,23.8,22.3,23.8,23.03,4800.0,4.0,110520.0,3600.0,75.0,1.5,0.6
22.05,22.5,21.7,22.05,22.17,9600.0,8.0,212820.0,7200.0,75.0,0.8,0.0
21.2,24.5,21.15,22.65,22.51,10800.0,6.0,243060.0,10800.0,100.0,3.35,1.45
24.2,25.0,22.05,24.25,23.89,18000.0,14.0,429960.0,13200.0,73.33,2.95,0.05
23.5,25.0,21.0,23.35,22.73,39600.0,28.0,900120.0,25200.0,63.64,4.0,-0.15
22.0,22.1,22.0,22.1,22.05,3600.0,3.0,79380.0,3600.0,100.0,0.1,0.1
21.85,22.8,21.1,21.8,21.9,14400.0,12.0,315300.0,9600.0,66.67,1.7,-0.05
21.4,22.1,21.4,22.1,21.83,3600.0,3.0,78600.0,2400.0,66.67,0.7,0.7
21.4,23.5,21.4,23.5,22.32,6000.0,5.0,133920.0,4800.0,80.0,2.1,2.1
22.75,23.4,22.75,23.4,23.2,4800.0,4.0,111360.0,4800.0,100.0,0.65,0.65
25.9,25.9,22.5,23.6,23.52,7200.0,6.0,169320.0,6000.0,83.33,3.4,-2.3
22.8,23.3,21.5,23.1,21.61,465600.0,31.0,10061700.0,460800.0,98.97,1.8,0.3
22.8,24.5,22.8,24.45,23.43,14400.0,7.0,337440.0,13200.0,91.67,1.7,1.65
25.0,26.05,24.5,26.0,25.41,8400.0,7.0,213420.0,7200.0,85.71,1.55,1.0
25.0,26.9,23.7,25.9,23.83,289200.0,18.0,6892320.0,285600.0,98.76,3.2,0.9
26.0,31.0,26.0,30.55,29.49,42000.0,26.0,1238400.0,34800.0,82.86,5.0,4.55
33.0,34.7,30.6,34.15,33.16,79200.0,51.0,2626320.0,58800.0,74.24,4.1,1.15
31.0,37.25,31.0,37.2,35.04,52800.0,33.0,1850040.0,38400.0,72.73,6.25,6.2
34.5,39.9,34.5,39.7,38.52,43200.0,27.0,1664100.0,34800.0,80.56,5.4,5.2
38.5,40.5,37.25,40.15,38.66,37200.0,14.0,1438140.0,37200.0,100.0,3.25,1.65
41.5,41.5,38.4,39.25,40.27,10800.0,6.0,434880.0,9600.0,88.89,3.1,-2.25
41.7,41.7,37.4,37.7,39.1,14400.0,9.0,563100.0,13200.0,91.67,4.3,-4.0
35.35,38.5,35.35,37.9,37.6,16800.0,7.0,631740.0,15600.0,92.86,3.15,2.55
37.0,40.65,34.4,39.55,37.04,138000.0,62.0,5111280.0,98400.0,71.3,6.25,2.55
38.25,40.0,37.3,39.7,39.39,42000.0,13.0,1654320.0,40800.0,97.14,2.7,1.45
37.5,40.5,37.5,40.2,38.58,25200.0,10.0,972180.0,25200.0,100.0,3.0,2.7
38.5,38.5,37.35,38.0,37.94,10800.0,9.0,409800.0,9600.0,88.89,1.15,-0.5
